"model","layers","neurons","reps","threshold","algo","error.function","activation.function","avg..training.duration...sec","nof.nets","nof.errors","nof.steps","rel_harmonic_error","arith_error","rel_arith_error","rel_rms","median_rel_error","first_quartile_rel_error","third_quartile_rel_error","max_rel_error","arith_mean_rel_error_on_training_data","weigthed_arith_mean_test_rel_error","mean_in_range","q0.1_rel_arith_mean","q0.1_rel_rms","q0.9_rel_arith_mean","q0.9_rel_rms","outlier_correct_percent","net_count","nof_bagged_nets"
"tuple1_with_error_class_from_good_model",13,13,1,0.1,"rprop+","sse","logistic",1944.467,12,0,677,1.03930216935037,6.63936697235989e-05,13.8442970976615,23.0504558091222,6.32050511837034,2.57506845799915,15.8996476375331,210.96549298248,6192.53580961219,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1_with_general_pred",13,15,1,0.6,"rprop+","sse","logistic",3010.133,12,0,607,0.709704723538739,7.07136882977438e-05,14.1630202687487,22.8007485062765,6.94398675941686,2.8601254534667,17.2821343599489,716.388897888591,6118.29408543386,-1,0.946735963155453,2.97903003555433,4.94228364930268,3.49565622736821,8.14722840088468,0.770374362151006,1,1
"throughput_ema",11,15,1,0.6,"rprop+","sse","logistic",3837.825,12,0,1644,0.659415687995635,6.75053796221632e-05,13.615544249407,22.7581311398187,6.14938102020772,2.58017651534284,16.3210407449322,290.23141068651,6037.68463426524,-1,0.969890913939515,1.67035030485108,3.44725770708245,1.78365866453726,4.82887608331269,0.771260948190371,1,1
"triple",13,18,1,0.6,"rprop+","sse","logistic",6755.565,12,0,46,2.26688869866059,0.000389646713706078,50.1472549148335,63.9486363570114,46.0483895565626,15.0366690563617,96.867435751936,99.9772710950695,21.826325286006,-1,0.224776248756938,214.529603828511,253.04472865263,275.051816104117,336.371668588774,0.199728887382708,1,1
"tuple2",9,32,1,0.6,"rprop+","sse","logistic",9699.745,12,0,1512,0.884300518252024,6.00798587301502e-05,15.6149327416914,131.878747536278,5.02459774254222,2.6501608879605,10.6616412275584,40665.009956282,7551.44035496694,-1,0.81643282342451,4138967263194343,1430298578650432512,124048522599.19,34807541506045.2,0.770104916958103,1,1
"rnn_tuple1",6,8,1,0.06,"elman","-1","-1",4333.263,12,0,2450,1.24492264613245,0.00037393790094546,40.5365849089211,57.4354436959996,16.01477523675,3.58091770248271,91.7252989159293,383.894265274157,75.0325506859702,-1,-1,-1,-1,-1,-1,-1,1,1
"aggregated",3,10,1,0.06,"rprop+","sse","logistic",11.783,12,0,129,6.60010704979012,0.000153620326131202,60.7607688388564,67.5963469781344,66.4007444423305,44.9411311401868,81.4881962256205,139.014217274426,20125.7582921855,3721.99105762204,0,51.344774122985,63.7684123778496,58.5067222669825,67.9026734686768,0.80052,1,1
"aggregated_only_mean",13,13,1,0.006,"rprop+","sse","logistic",22.81,12,0,193,5.62364766249997,0.000117218351680655,68.5273615168235,79.1819630076302,77.1498668109035,30.0129428730909,100.048507799803,163.848276491375,19163.2877212032,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1",13,18,1,0.6,"rprop+","sse","logistic",2646.369,12,0,723,0.77757570598556,6.69940253643725e-05,13.7490646991568,22.8562377737495,6.14284565095642,2.80403135100317,15.7687071752762,234.777208369734,6100.11468972615,-1,0.999880555555556,2.6771406176533,3.67955428592276,1.73538421308532,4.09788390786635,0.799313888888889,1,1
"tuple1_single",9,8,1,0.6,"rprop+","sse","logistic",248.165,12,0,262,1.00873479629531,8.88731465894437e-05,14.2923699448304,23.0526798701588,7.01597221914383,2.54171237497461,17.5085447394941,203.919175800543,5791.63544589678,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1_with_error_class_from_linreg",11,22,1,0.1,"rprop+","sse","logistic",4757.745,12,0,847,0.441819208374631,1.96038604346389e-05,6.41976232551708,10.7817153650323,4.10361049533924,1.78422896710095,7.79056301662851,148.428850939385,6359.13318817733,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1_with_error_class_from_good_model",13,23,1,0.06,"rprop+","sse","logistic",5560.513,12,0,1078,0.774170144002565,2.15331747923298e-05,6.70443294756641,11.1083396979054,4.22137981989171,1.99661696486786,8.1901450893058,430.550145382461,6109.08503267728,-1,-1,-1,-1,-1,-1,-1,1,1
