"model","layers","neurons","reps","threshold","algo","error.function","activation.function","avg..training.duration...sec","nof.nets","nof.errors","mean.nof.steps","mean_rel_harmonic_error","best_rel_harmonic_error","mean_arith_error","mean_rel_arith_error","best_rel_arith_error","mean_rel_rms","best_rel_rms","mean_median_rel_error","mean_first_quartile_rel_error","mean_third_quartile_rel_error","max_max_rel_error","mean_arith_mean_rel_error_on_training_data","arith_mean_rel_error_of_best_rel_rms_on_training_data","mean_weigthed_arith_mean_test_rel_error","mean_mean_in_range","mean_q0.1_rel_arith_mean","mean_q0.1_rel_rms","mean_q0.9_rel_arith_mean","mean_q0.9_rel_rms","mean_outlier_correct_percent","mean_net_count","mean_nof_bagged_nets"
"mean_performance",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,100.139803406707,100.139803406707,0.000555898778045075,2744.61231290551,2744.61231290551,3533.79498975773,3533.79498975773,2922.49972415617,89.7472439124864,4647.17538342501,6114.55431088695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"linreg_Size(aggregated)",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,34.8252662685939,34.8252662685939,0.000158881336255091,508.500018492297,508.500018492297,642.973108008388,642.973108008388,536.853721491981,48.0706762455664,850.000024062353,1071.64584219677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"linreg_Size",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,5.21676603992406,5.21676603992406,7.28496738576221e-05,35.1920430550058,35.1920430550058,43.039645070214,43.039645070214,31.1373093224653,20.5902125125741,42.1562040967749,309.527502268626,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"linreg_Size+Offset",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,3.10872109851957,3.10872109851957,7.28536798863604e-05,35.0694681134427,35.0694681134427,47.5798849874572,47.5798849874572,30.7902101691606,20.4216953026508,41.7938010068399,5908.09826002924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"linreg_Size+Offset+OpTyp",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,3.21772144395885,3.21772144395885,8.49792182923613e-05,189.814951564455,189.814951564455,243.434693225759,243.434693225759,158.913988153077,36.2426696561277,277.211929696036,6021.45390183792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"linreg(per_OpTyp)_Size",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,8.57828562380348,8.57828562380348,7.10621975655466e-05,44.92266482902,44.92266482902,51.5940582185785,51.5940582185785,49.9497367525115,24.1057617452545,57.5573097079341,284.799588185757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"mean_Duration_aggregated",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0,0,6.8861146549993e-05,22.2289441667006,22.2289441667006,39.9514517222047,39.9514517222047,7.95279486494956,3.16173303251171,21.7032030147232,214.719522174163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"median_Duration_aggregated",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0,0,6.26650852475e-05,12.2465867112652,12.2465867112652,27.8457160385009,27.8457160385009,3.87942507319671,1.63506815729518,9.73358953033945,224.176997477296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"mean_Duration_with_linreg_error_class_aggregated",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0,0,1.6121792677409e-05,8.78941345975496,8.78941345975496,16.1147050312347,16.1147050312347,4.24581677868301,1.99931771189486,8.63844250321754,95.7141032947658,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"median_Duration_with_linreg_error_class_aggregated",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0,0,1.534551447e-05,5.1961547025482,5.1961547025482,9.99651021383427,9.99651021383427,2.87183641755049,1.29392212725546,5.77856197617998,96.0783781288525,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"median_Duration_with_good_model_error_class_aggregated",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0,0,6.26650852475e-05,12.2465867112652,12.2465867112652,27.8457160385009,27.8457160385009,3.87942507319671,1.63506815729518,9.73358953033945,224.176997477296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"mean_Duration_aggregated+correction",-1,-1,-1,-1,"-1","-1","-1",-1,-1,0,0,0.638331087978116,0.638331087978116,6.95636023587439e-05,22.4005347690993,22.4005347690993,83.6088944670821,83.6088944670821,5.09243345753985,1.97709299790207,20.5053439381719,20867.3850686568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"tuple1_with_error_class_from_good_model",10,13,1,0.1,"rprop+","sse","logistic",677.4445,12,0,880.083333333333,0.750089250540414,0.237142633644748,6.60621052360478e-05,13.9092932249702,13.857461342442,23.1706992845523,23.0929402993692,6.17600116109114,2.54897489950767,16.5824305330694,2405.2441639404,6208.7145141758,6207.80401223972,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1_with_general_pred",13,22,1,0.6,"rprop+","sse","logistic",1899.896,12,0,694.333333333333,0.800743393676983,0.409804979884454,6.65767036045667e-05,13.9687257706517,13.7857631209398,23.2834494378532,23.0710317993741,6.29762022000879,2.56167774535625,16.2965751086092,607.983092047788,6240.10975932327,6278.21338657073,-1,0.97888003392602,1.70081429115927,2.57434544746634,1.49462471138222,2.9145213528576,0.787151492087478,1,1
"throughput_ema",11,1,1,0.6,"rprop+","sse","logistic",11.709,12,0,44.0833333333333,49.9292407782132,29.3909045364874,0.000393730659918262,243.369905053427,243.327711752445,292.127768929768,292.072246872481,204.335066872217,94.3598438401819,377.705957463977,524.984939611904,1707.85249091697,1707.30150983753,-1,0.0500818076007456,217.866086126713,257.401874497659,281.016200202165,344.402977777893,0.801117250153476,1,1
"tuple2",13,25,1,0.6,"rprop+","sse","logistic",4112.8915,12,0,1165.25,0.682835434052431,0.529591058819588,0.000398070671591117,64.6493247254093,15.177557450181,22298.8375714103,133.937413897458,4.79632573250512,2.34244755960599,10.5475711913206,145844142.521773,7728.61578472013,7128.74878116695,-1,0.804442049376063,17971.3392630329,6183105.05201611,30907.2721768864,10619207.6573597,0.799963333231481,1,1
"rnn_tuple1",11,1,1,0.06,"elman","-1","-1",1182.1575,12,0,2450,2.11502776908869,1.50280639868958,0.000377024640594492,45.0196665554649,44.997164864174,59.4682480864416,59.46696697017,29.4336054286692,6.05483676575677,92.3371875944944,99.9721075270299,88.1516855793685,88.0771131346602,-1,-1,-1,-1,-1,-1,-1,1,1
"aggregated",7,10,1,0.01,"rprop+","sse","logistic",8.141,12,0,449.416666666667,6.0431116617906,0.601655673428129,0.000115805611123149,63.4230454933363,61.2959763723721,74.0792963819919,71.0124569724037,65.6267419651508,32.4791083672841,94.0392288890537,176.460034367422,19145.6877562547,19123.2943546471,4476.81441690033,0,51.3449913144192,63.7685893873884,58.5069389654801,67.9026542772379,0.80052,1,1
"aggregated_only_mean",1,13,1,0.01,"rprop+","sse","logistic",4.154,12,0,187.833333333333,8.24892305717789,0.102388741982433,0.000137416068500417,69.7846747040663,68.1932688931186,80.6326677777439,78.6822148149968,68.9438831173475,38.8598326340685,106.643556094498,178.583340747143,21422.9550560401,23443.2711586801,-1,-1,-1,-1,-1,-1,-1,1,1
"tuple1",9,13,1,0.6,"rprop+","sse","logistic",1164.3175,12,0,1453.75,0.869734773189937,0.550832279763035,6.9474054105315e-05,13.9492721656789,13.8167175171389,24.8143463332415,23.0624571599452,6.32379660188158,2.61330105618373,16.2144819098924,6810.71502711899,6013.39590760914,5987.05957254856,-1,0.991451388888889,2.67325838855807,8.14717671693682,1.72297883166082,10.9480481474912,0.793747453703704,1,1
"tuple1_single",11,21,1,0.05,"rprop+","sse","logistic",5228.195,12,0,468.416666666667,0.812911491922003,0.372549003565587,6.58578019426173e-05,13.8593463314246,13.8387488719142,23.5647713841418,23.2315662815906,6.17619929307604,2.55435039200367,16.1602967875397,1972.11662044596,13.8415098723893,13.8457254504389,-1,-1,-1,-1,-1,-1,-1,6,6
"tuple1_with_error_class_from_linreg",11,22,1,0.1,"rprop+","sse","logistic",2378.8725,12,0,871.5,0.523318767741857,0.0521181704733337,2.19025150828695e-05,6.46490165959187,6.30786301531414,14.47175143322,10.7817153650323,4.0530477170062,1.88827853876877,7.81631628100434,21979.7289494539,6349.41346207752,6359.13318817733,-1,-1,-1,-1,-1,-1,-1,1,1
