tp,idx,seqcount,minerror,meanerror,maxerror,rndcount
3.6e+09, 1,    35,-1.0e-02,-9.8e-03,-5.5e-03,  3750
1.3e+09, 2,  2514,-5.2e-03,-8.2e-04,-5.4e-04,  3369
1.9e+09, 3, 24501,-5.4e-04,-2.7e-04,-2.0e-04,   569
1.7e+09, 4, 33469,-2.0e-04,-1.4e-04,-8.8e-05,   689
1.4e+09, 5, 22563,-8.8e-05,-3.7e-05,-1.4e-05, 33397
2.8e+08, 6,296273,-1.4e-05, 1.0e-05, 1.8e-04,  1905
7.3e+08, 7, 17685, 1.8e-04, 3.5e-04, 8.5e-04,337578
7.7e+08, 8,  2654, 8.5e-04, 1.3e-03, 2.9e-03,   462
6.7e+08, 9,   266, 2.9e-03, 4.4e-03, 9.5e-03,  1415
1.1e+08,10,    40, 9.8e-03, 1.5e-02, 3.0e-02, 16866
